GET http://localhost:3456/api/v1/tasks/49
as: session:ownerdsbackidenticallyv1v2gw4562c6e91
status: 200  (47 ms)
body: {
  "id": 49,
  "title": "task by v1",
  "description": "",
  "done": false,
  "done_at": "0001-01-01T00:00:00Z",
  "due_date": "0001-01-01T00:00:00Z",
  "reminders": null,
  "project_id": 123,
  "repeat_after": 0,
  "repeat_mode": 0,
  "priority": 0,
  "start_date": "0001-01-01T00:00:00Z",
  "end_date": "0001-01-01T00:00:00Z",
  "assignees": null,
  "labels": null,
  "hex_color": "",
  "percent_done": 0,
  "identifier": "#1",
  "index": 1,
  "related_tasks": {},
  "attachments": null,
  "cover_image_attachment_id": 0,
  "is_favorite": false,
  "subscription": {
    "id": 39,
    "entity": "task",
    "entity_id": 49,
    "created": "2026-09-12T22:20:59Z"
  },
  "created": "2026-09-12T22:20:59Z",
  "updated": "2026-09-12T22:20:59Z",
  "bucket_id": 0,
  "position": 0,
  "reactions": null,
  "created_by": {
    "id": 92,
    "name": "",
    "username": "ownerdsbackidenticallyv1v2gw4562c6e91",
    "created": "2026-09-12T22:20:57Z",
    "updated": "2026-09-12T22:20:58Z"
  }
}
