GET http://localhost:3456/api/v1/tasks/84
as: session:ownereswritesandstillreadsgw3975bab67
status: 200  (27 ms)
body: {
  "id": 84,
  "title": "before archiving",
  "description": "",
  "done": false,
  "done_at": "0001-01-01T00:00:00Z",
  "due_date": "0001-01-01T00:00:00Z",
  "reminders": null,
  "project_id": 261,
  "repeat_after": 0,
  "repeat_mode": 0,
  "priority": 0,
  "start_date": "0001-01-01T00:00:00Z",
  "end_date": "0001-01-01T00:00:00Z",
  "assignees": null,
  "labels": null,
  "hex_color": "",
  "percent_done": 0,
  "identifier": "#1",
  "index": 1,
  "related_tasks": {},
  "attachments": null,
  "cover_image_attachment_id": 0,
  "is_favorite": false,
  "subscription": {
    "id": 75,
    "entity": "task",
    "entity_id": 84,
    "created": "2026-09-18T07:44:39Z"
  },
  "created": "2026-09-18T07:44:39Z",
  "updated": "2026-09-18T07:44:39Z",
  "bucket_id": 0,
  "position": 0,
  "reactions": null,
  "created_by": {
    "id": 194,
    "name": "",
    "username": "ownereswritesandstillreadsgw3975bab67",
    "created": "2026-09-18T07:44:38Z",
    "updated": "2026-09-18T07:44:38Z"
  }
}
