"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","API","0","Contracts","362","0","Documented operations","0"
"0","API","0","Authorization","349","16","Credentials required","0"
"0","UI","0","Localisation","12","0","Languages","0"
"0","API","0","Authorization","34","0","Token scopes","0"
"0","UI","0","Sharing","12","0","Public link","0"
"0","API","0","Authorization","45","0","Access matrix","0"
"0","API","0","Contracts","49","1","Error codes","0"
"0","UI","0","Tasks","6","0","Quick add","0"
"0","API","0","Calendar","8","0","Two doors","0"
"0","API","0","Regressions","5","0","Published vulnerabilities","0"
"0","UI","0","Tasks","3","0","Done from the list","0"
"0","UI","0","Views","6","0","Kanban board","0"
"0","API","0","Calendar","6","1","Calendar access","0"
"0","API","0","Rules","3","0","People and links","0"
"0","API","0","Framework","8","0","Transport","0"
"0","API","0","Side effects","2","0","Mail","0"
"0","API","0","Boundaries","16","0","Credential shapes","0"
"0","API","0","Contracts","9","0","Cross version","0"
"0","API","0","Rules","5","0","Task lifecycle","0"
"0","UI","0","Framework","9","0","Session","0"
"0","Resilience","0","Dependencies","1","1","Mail","0"
"0","Resilience","0","Dependencies","1","1","Object storage","0"
"0","API","0","Concurrency","4","1","Simultaneous writes","0"
"0","API","0","Integrity","6","1","Data integrity","0"
"0","API","0","Boundaries","11","0","Permission values","0"
"0","UI","0","Projects","6","0","Destructive actions","0"
"0","Resilience","0","Dependencies","1","0","Database","0"
"0","API","0","Side effects","2","0","Webhooks","0"
"0","UI","0","Views","3","0","Views agree","0"
"0","UI","0","Permissions","3","0","Controls follow permissions","0"
"0","API","0","Side effects","1","0","Object storage","0"
"0","API","0","Authorization","0","2","Existence disclosure","0"
"0","API","0","Side effects","1","0","Metrics","0"
"0","API","0","Framework","1","0","Stand","0"
"0","Resilience","0","Dependencies","1","0","Key value store","0"
